Date,Wagers/sales,Lotto,Bingo,Crossword,Terdrup,Free Roll,Crossword Paradise,Spin the Wheel,Race 6,Pick 3,Pick 4,Spin Roulette
27/02/2026,2118595,16560,"709,230.00","793,140.00","43,075.00",876,"113,250.00","198,480.00","96,500.00","52,920","22,040","73,400"
28/02/2026,1956010,11220,"635,910.00","743,070.00","44,025.00",841,"102,550.00","197,640.00","93,720.00","41,640","15,960","70,275"
1/3/2026,"1,724,685.00","14,280.00","574,020.00","622,860.00","34,850.00",775,"98,400.00","166,530.00","97,965.00","35,400","23,880","56,500"
2/3/2026,"2,160,045.00","58,950.00","727,350.00","763,740.00","55,775.00",971,"107,500.00","201,540.00","96,365.00","34,290","19,960","94,575"
3/3/2026,"2,324,485.00","20,940.00","757,950.00","810,750.00","58,625.00","1,122.00","126,900.00","246,270.00","102,440.00","58,680","35,680","106,250"
4/3/2026,"1,987,820.00","22,050.00","624,750.00","718,710.00","34,050.00",930,"105,150.00","211,260.00","108,600.00","50,490","32,760","80,000"
5/3/2026,"2,037,580.00","61,620.00","688,920.00","710,580.00","41,275.00","1,005.00","117,600.00","185,670.00","108,620.00","34,500","21,520","67,275"
6/3/2026,"1,914,310.00","19,800.00","624,570.00","691,320.00","41,600.00",876,"110,450.00","177,180.00","112,425.00","46,140","19,600","71,225"
7/3/2026,"1,705,990.00","8,880.00","534,990.00","632,940.00","37,200.00",792,"108,500.00","160,080.00","106,995.00","34,680","17,600","64,125"
8/3/2026,"1,799,515.00","17,490.00","588,600.00","706,680.00","31,300.00",854,"87,600.00","158,490.00","99,130.00","38,070","14,480","57,675"
9/3/2026,"1,940,730.00","67,110.00","596,430.00","700,230.00","44,450.00",887,"113,400.00","193,350.00","97,215.00","45,420","18,000","65,125"
10/3/2026,"1,969,650.00","16,710.00","629,370.00","741,150.00","40,600.00",896,"133,800.00","175,080.00","102,230.00","40,530","23,080","67,100"
11/3/2026,"2,135,890.00","35,310.00","657,570.00","737,490.00","60,175.00","1,118.00","123,500.00","228,900.00","109,540.00","48,990","20,240","114,175"
12/3/2026,"2,003,905.00","67,500.00","632,700.00","682,590.00","51,200.00",956,"111,250.00","212,100.00","105,745.00","38,100","20,120","82,600"
13/03/2026,"1,890,170.00","18,480.00","628,200.00","643,590.00","44,100.00",889,"117,100.00","202,620.00","106,090.00","41,220","16,920","71,850"
